Comment,Designator,Footprint,JLCPCB Part #
NFC_ANTENNA_25X15,ANT1,NFCANT_25X15,
10uF,C1 C3 C7 C21 C23 C24 C26 C28 C29 C31 C32 C33 C34 C35 C36 C37 C38 C39 C45 C46 C57 C59 C60 C61 C62 C65 C68 C79 C80,CAPC1608X85,C15850
4.7uF/50V,C17,CAPC1608X85,C162274
4.7uF,C18,CAPC1608X85,C162274
1.0uF,C19 C22 C25 C30 C75 C76,CAPC1608X85,C15849
2.2uF,C2 C66,CAPC1608X85,C377773
0.47uF,C20,CAPC1608X85,C1623
RP2040TR13QFN56_7X7_RPI,C2040,QFN56_7X7_RPI,C2040
0.1uF,C4 C27 C42 C43 C44 C47 C48 C49 C50 C58 C67 C69 C70 C71 C72 C73 C74 C77 C78 C81,CAPC1608X85,C14663
1uF,C5 C8 C9 C10 C11 C12 C13 C14 C15 C16,CAPC1608X85,C15849
33pF,C52 C54,CAPC1608X85,C1663
100uF,C6,C1210,C49066
100pF,C63 C64,CAPC1608X85,C14858
15p,C82 C83,CAPC1608X85,C1548
ACT (MHT192JGCT),D1,LED-0603@1,C473820
MBR0530,D2 D3 D4,SOD3716X135N,C475718
CHARGING FC-1608B1-470,D5,LED-0603,C19189746
PMIC,D6 D7,LED-0603,C2286
Ferrite,FB2,805,C5346604
Ferrite,FB3,0805-NO,C5346604
Ferrite,FB5,805,C5346604
120o,FB9 FB10,0805-NO,C5346604
BLM18HE152SN1D,FL3 FL4 FL5,BEADC1608X95N,C82155
TEST-POINT3,GND GND13 GND22 GND25 GND26 GND27 GND34 RPIBOOT RPIBOOT1 RPIBOOT2 RPIBOOT3 RPIBOOT4 RPIBOOT5 USB_BOOT_N,PAD.03X.03,
WM8960,IC3,QFN32_5MM,C18752
BM04B-GHS-TBT(LF)(SN)(N),J1,JST_BM04B-GHS-TBT(LF)(SN)(N),
C393939,J2,USB-C-16P,C393939
524372471,J3,CON_524372471_MOL,
,JP6 SJ1 SJ2 SJ3 SJ6 ,,
,S1,,C963206
6.8uH,L1,INDUCTOR_5X5MM_TDK_VLC5045,C7461345
ASPI-0403S-100M-T,L2,IND_ASPI-0403S-100M-T,C167911
5VBOOST,LED2,CHIPLED_0805_NOOUTLINE,C113551
SYS_POW (19-213/Y2C-CQ2R2L/3T(CY)),LED3,LED-0603,C72038
XL-2012VRC,LOW_BATT,CHIPLED_0805_NOOUTLINE,C7371913
CMS-18138A-SP,LS1,CUI_CMS-18138A-SP,
24MHz 3.3V Oscillator,OSC1,OSC_3.2X2.5MM,C717686
ECS-3225MV,OSC2,OSC_3.2X2.5MM,
DF30FC-24DS-0.4V(82)CONN_DF30FC-24DS-0.4V(82)_HIR,OV5674,CONN_DF30FC-24DS-0.4V(82)_HIR,
SI1308EDL-T1-GE3,Q1,SOT65P210X110-3N,SI1308EDL-T1-GE3
2.5A/30V ﻿MOSFET-PCHANNELDMG2307L,Q2,SOT23-3,C780824
1.87M (TPA2005D1DRBR),R1 R3,R0603,C320616
10K,R11 R29 R33,R0603,C2930027
0.01,R12,1206,C105362
4.7K,R15 R18,R0603,C269713
10k,R16 R17 R28,R0603,C2930027
340K (RTT053403FTP),R2,R0603,C2933203
180,R22,R0603,C318123
100k,R24,R0603,C25803
36k,R30,R0603,C103579
27,R31 R32,R0603,C863706
200K,R4 R13 R36 R37,R0603,C105574
1K,R5 R14 R20 R23,R0603,C3017736
590,R6,R0603,C245050
1.1k,R7,R0603,C22764
1k,R8 R10 R34 R35,R0603,C3017736
0.47,R9,R0603,C169877
DF40C-100DS-0.4V(51),RPI-CM1-2 RPI-CM1,,C597931
W25Q128JVBIQTFBGA_128JVBIQ_WIN,SPI_FLASH_SAM,TFBGA_128JVBIQ_WIN,
MMUN2133LT1G,T1,SC59-BEC,C86182
TPS61090RSAR,U1,PVQFN-16,C206167
AP2112-3.3K,U10 U11,SOT23-5,C3021085
SPU0410LR5H-QB,U12,XDCR_SPU0410LR5H-QB,
MC74VHC1G14DFT1G,U2,SOT65P210X110-5N,
BQ27441DRZR-G1A,U3,PDSO-N12,C473397
BQ24075,U4,PVQFN-N16,C15464
TLV74328,U5,SOT23-5,"
C485166"
TLV74315,U6,SOT23-5,C469895
TLV74318PDBVRDBV0005A_L,U7,DBV0005A_L,C485152
ST25DV64K-IER6S3SOIC_IER6S3_STM,U8,SOIC_IER6S3_STM,
EMC2301-1-ACZL-TRMSOP8_MC_MCH-L,U9,MSOP8_MC_MCH-L,C148036
ABM8-272-T3,Y1,ABM8272T3,