Designator,Mid X,Mid Y,Layer,Rotation
RPI-CM1,66.32,83.82,Top,0
RPI-CM1-2,66.32,83.82,Top,0
ANT1,16.11,101.54,Top,270
C1,50.74,31.25,Top,0
C2,49.54,34.87,Top,270
C3,8.11,9.44,Top,270
C4,50.79,29.5,Top,0
C5,39.75,13.7,Top,90
C6,48.56,40.04,Top,90
C7,28.39,98.4,Top,180
C8,37.86,13.59,Top,90
C9,36.09,13.77,Top,90
C10,32.44,13.78,Top,90
C11,34.25,13.8,Top,90
C12,30.69,13.56,Top,90
C13,28.9,13.33,Top,90
C14,25.18,13.41,Top,270
C15,27.12,13.37,Top,90
C16,32.72,16.57,Top,90
C17,41.68,13.58,Top,270
C18,32.75,19.25,Top,90
C19,63.86,35.51,Top,90
C20,65.45,35.52,Top,90
C21,58.32,25.97,Top,0
C22,53.55,21.87,Top,180
C23,62.9,22.93,Top,0
C24,36.58,98.81,Top,270
C25,36.56,91.4,Top,270
C26,28.25,94.75,Top,180
C27,28.25,92.85,Top,180
C28,34.79,91.4,Top,270
C29,38.34,91.4,Top,270
C30,35.19,95.86,Top,270
C31,38.32,98.86,Top,270
C32,28.36,100.21,Top,180
C33,28.41,96.61,Top,180
C34,38.27,95.75,Top,270
C35,36.75,95.83,Top,270
C36,33.31,87.39,Top,270
C37,35.09,87.39,Top,270
C38,31.53,87.13,Top,270
C39,28.16,91.1,Top,180
C42,36.21,37.4,Top,90
C43,24.83,40.58,Top,0
C44,24.83,38.8,Top,0
C45,2.65,22.54,Top,270
C46,7.99,22.54,Top,270
C47,2.65,33.95,Top,90
C48,6.08,22.54,Top,270
C49,12.15,25.34,Top,0
C50,4.05,97.19,Top,0
C52,4.05,91.12,Top,180
C54,3.67,77.81,Top,0
C57,3.67,79.72,Top,0
C58,4.3,22.67,Top,270
C59,4.53,33.87,Top,90
C60,6.31,33.87,Top,90
C61,8.42,33.29,Top,270
C62,2.5,41.64,Top,90
C63,23.51,6.61,Top,270
C64,21.12,24.88,Top,0
C65,10.81,32.7,Top,0
C66,10.78,34.61,Top,0
C67,9.39,42.96,Top,0
C68,9.39,40.27,Top,0
C69,4.53,41.64,Top,90
C70,17.23,42.53,Top,180
C71,19.72,42.05,Top,90
C72,22.06,38.72,Top,180
C73,22.06,40.5,Top,180
C74,22.06,42.28,Top,180
C75,24.83,42.35,Top,0
C76,22.06,36.94,Top,180
C77,22.36,31.97,Top,180
C78,22.36,29.93,Top,180
C79,17.21,40.58,Top,0
C80,24.83,37.02,Top,0
C81,13.35,41.47,Top,270
C82,39.18,26.05,Top,270
C83,27.32,25.97,Top,270
C2040,31.72,31.96,Top,0
D1,6.42,62.66,Top,90
D2,26.1,18.08,Top,90
D3,29.75,18.07,Top,270
D4,35.75,18.32,Top,90
D5,49.98,16.97,Top,180
D6,49.95,18.42,Top,0
D7,18.75,34.67,Top,270
FB2,2.99,37.54,Top,90
FB3,4.05,89.09,Top,180
FB5,10.94,37.2,Top,0
FB9,23.43,10.05,Top,270
FB10,17.23,24.75,Top,0
FL3,43.02,100.59,Top,0
FL4,42.52,90.69,Top,0
FL5,37.64,101.05,Top,0
GND,59.17,42.73,Top,0
GND13,63.74,21.78,Top,0
GND22,46.21,17.21,Top,0
GND25,42.66,85.41,Top,0
GND26,46.01,36.59,Top,0
GND27,50,24.88,Top,0
GND34,21.26,35.28,Top,0
IC3,6.82,28.38,Top,90
J1,41.7,38.79,Top,0
J2,7.93,15.93,Top,270
J3,34.02,8.57,Top,0
JP6,62.56,15.64,Top,270
L1,45.08,32.22,Top,90
L2,41.46,18.32,Top,180
LED2,52.16,42.47,Top,90
LED3,4.88,62.61,Top,90
LOW_BATT,60.25,36.21,Top,180
LS1,15.78,14.27,Top,0
OSC1,45.89,88.12,Top,90
OSC2,15.15,28.82,Top,0
OV5674,43.17,95.84,Top,270
Q1,46.12,9.68,Top,0
Q2,57.09,9.77,Top,90
R1,57.6,32.38,Top,270
R2,57.6,36.08,Top,270
R3,54.03,40.12,Top,270
R4,58.59,39.69,Top,90
R5,56.27,40.06,Top,90
R6,58.78,18.98,Top,180
R7,50.67,22.51,Top,270
R8,9.4,60.07,Top,0
R9,43.64,13.46,Top,270
R10,9.38,65.16,Top,0
R11,46.1,13.44,Top,270
R12,60.17,30.73,Top,90
R13,51.91,10.53,Top,90
R14,21.34,33.68,Top,0
R15,44.65,103.34,Top,0
R16,9.36,54.27,Top,90
R17,58.97,87.46,Top,270
R18,40.7,103.34,Top,180
R20,62.01,35.97,Top,90
R22,48.59,22.49,Top,90
R23,55.53,18.89,Top,180
R24,60.43,25.09,Top,90
R28,9.11,74.84,Top,90
R29,64.48,40.91,Top,180
R30,41.77,26.1,Top,270
R31,25.79,30.82,Top,0
R32,25.79,28.49,Top,0
R33,65.3,23.99,Top,270
R34,25.13,34.48,Top,180
R35,29.73,26.2,Top,270
R36,54.06,10.58,Top,90
R37,49.75,10.58,Top,90
RPIBOOT,58.02,42.73,Top,0
RPIBOOT1,47.48,36.59,Top,0
RPIBOOT2,46.21,18.48,Top,0
RPIBOOT3,40.75,85.41,Top,0
RPIBOOT4,52.84,25.34,Top,0
RPIBOOT5,61.71,21.78,Top,0
S1,53.21,6.32,Top,180
SJ1,65.09,38.44,Top,0
SJ2,41.64,87.43,Top,180
SJ3,38.12,87.33,Top,0
SJ6,47.48,50.87,Top,180
SPI_FLASH_SAM,30.85,39.79,Top,90
T1,61.19,39.98,Top,0
U1,53.43,35.66,Top,0
U2,9.38,62.63,Top,180
U3,63.87,28.03,Top,180
U4,57.67,22.77,Top,90
U5,32.18,99.35,Top,270
U6,32.18,95.6,Top,270
U7,31.97,91.43,Top,0
U8,7.92,84.12,Top,270
U9,38.48,31.87,Top,270
U10,6.12,37.71,Top,0
U11,17.22,37.72,Top,270
U12,4.04,93.95,Top,180
USB_BOOT_N,24.1,32.84,Top,0
Y1,33.92,25.29,Top,180